Source,FullwidthKatakana,
3041,30a1,ぁ,ァ
3042,30a2,あ,ア
3043,30a3,ぃ,ィ
3044,30a4,い,イ
3045,30a5,ぅ,ゥ
3046,30a6,う,ウ
3047,30a7,ぇ,ェ
3048,30a8,え,エ
3049,30a9,ぉ,ォ
304a,30aa,お,オ
304b,30ab,か,カ
304c,30ac,が,ガ
304d,30ad,き,キ
304e,30ae,ぎ,ギ
304f,30af,く,ク
3050,30b0,ぐ,グ
3051,30b1,け,ケ
3052,30b2,げ,ゲ
3053,30b3,こ,コ
3054,30b4,ご,ゴ
3055,30b5,さ,サ
3056,30b6,ざ,ザ
3057,30b7,し,シ
3058,30b8,じ,ジ
3059,30b9,す,ス
305a,30ba,ず,ズ
305b,30bb,せ,セ
305c,30bc,ぜ,ゼ
305d,30bd,そ,ソ
305e,30be,ぞ,ゾ
305f,30bf,た,タ
3060,30c0,だ,ダ
3061,30c1,ち,チ
3062,30c2,ぢ,ヂ
3063,30c3,っ,ッ
3064,30c4,つ,ツ
3065,30c5,づ,ヅ
3066,30c6,て,テ
3067,30c7,で,デ
3068,30c8,と,ト
3069,30c9,ど,ド
306a,30ca,な,ナ
306b,30cb,に,ニ
306c,30cc,ぬ,ヌ
306d,30cd,ね,ネ
306e,30ce,の,ノ
306f,30cf,は,ハ
3070,30d0,ば,バ
3071,30d1,ぱ,パ
3072,30d2,ひ,ヒ
3073,30d3,び,ビ
3074,30d4,ぴ,ピ
3075,30d5,ふ,フ
3076,30d6,ぶ,ブ
3077,30d7,ぷ,プ
3078,30d8,へ,ヘ
3079,30d9,べ,ベ
307a,30da,ぺ,ペ
307b,30db,ほ,ホ
307c,30dc,ぼ,ボ
307d,30dd,ぽ,ポ
307e,30de,ま,マ
307f,30df,み,ミ
3080,30e0,む,ム
3081,30e1,め,メ
3082,30e2,も,モ
3083,30e3,ゃ,ャ
3084,30e4,や,ヤ
3085,30e5,ゅ,ュ
3086,30e6,ゆ,ユ
3087,30e7,ょ,ョ
3088,30e8,よ,ヨ
3089,30e9,ら,ラ
308a,30ea,り,リ
308b,30eb,る,ル
308c,30ec,れ,レ
308d,30ed,ろ,ロ
308e,30ee,ゎ,ヮ
308f,30ef,わ,ワ
308f3099,30f7,わ゙,ヷ
3090,30f0,ゐ,ヰ
30903099,30f8,ゐ゙,ヸ
3091,30f1,ゑ,ヱ
30913099,30f9,ゑ゙,ヹ
3092,30f2,を,ヲ
30923099,30fa,を゙,ヺ
3093,30f3,ん,ン
3094,30f4,ゔ,ヴ
3095,30f5,ゕ,ヵ
3096,30f6,ゖ,ヶ
309d,30fd,ゝ,ヽ
309e,30fe,ゞ,ヾ
ff61,3002,｡,。
ff62,300c,｢,「
ff63,300d,｣,」
ff64,3001,､,、
ff65,30fb,･,・
ff66,30f2,ｦ,ヲ
ff66ff9e,30fa,ｦﾞ,ヺ
ff67,30a1,ｧ,ァ
ff68,30a3,ｨ,ィ
ff69,30a5,ｩ,ゥ
ff6a,30a7,ｪ,ェ
ff6b,30a9,ｫ,ォ
ff6c,30e3,ｬ,ャ
ff6d,30e5,ｭ,ュ
ff6e,30e7,ｮ,ョ
ff6f,30c3,ｯ,ッ
ff70,30fc,ｰ,ー
ff71,30a2,ｱ,ア
ff72,30a4,ｲ,イ
ff73,30a6,ｳ,ウ
ff73ff9e,30f4,ｳﾞ,ヴ
ff74,30a8,ｴ,エ
ff75,30aa,ｵ,オ
ff76,30ab,ｶ,カ
ff76ff9e,30ac,ｶﾞ,ガ
ff77,30ad,ｷ,キ
ff77ff9e,30ae,ｷﾞ,ギ
ff78,30af,ｸ,ク
ff78ff9e,30b0,ｸﾞ,グ
ff79,30b1,ｹ,ケ
ff79ff9e,30b2,ｹﾞ,ゲ
ff7a,30b3,ｺ,コ
ff7aff9e,30b4,ｺﾞ,ゴ
ff7b,30b5,ｻ,サ
ff7bff9e,30b6,ｻﾞ,ザ
ff7c,30b7,ｼ,シ
ff7cff9e,30b8,ｼﾞ,ジ
ff7d,30b9,ｽ,ス
ff7dff9e,30ba,ｽﾞ,ズ
ff7e,30bb,ｾ,セ
ff7eff9e,30bc,ｾﾞ,ゼ
ff7f,30bd,ｿ,ソ
ff7fff9e,30be,ｿﾞ,ゾ
ff80,30bf,ﾀ,タ
ff80ff9e,30c0,ﾀﾞ,ダ
ff81,30c1,ﾁ,チ
ff81ff9e,30c2,ﾁﾞ,ヂ
ff82,30c4,ﾂ,ツ
ff82ff9e,30c5,ﾂﾞ,ヅ
ff83,30c6,ﾃ,テ
ff83ff9e,30c7,ﾃﾞ,デ
ff84,30c8,ﾄ,ト
ff84ff9e,30c9,ﾄﾞ,ド
ff85,30ca,ﾅ,ナ
ff86,30cb,ﾆ,ニ
ff87,30cc,ﾇ,ヌ
ff88,30cd,ﾈ,ネ
ff89,30ce,ﾉ,ノ
ff8a,30cf,ﾊ,ハ
ff8aff9e,30d0,ﾊﾞ,バ
ff8aff9f,30d1,ﾊﾟ,パ
ff8b,30d2,ﾋ,ヒ
ff8bff9e,30d3,ﾋﾞ,ビ
ff8bff9f,30d4,ﾋﾟ,ピ
ff8c,30d5,ﾌ,フ
ff8cff9e,30d6,ﾌﾞ,ブ
ff8cff9f,30d7,ﾌﾟ,プ
ff8d,30d8,ﾍ,ヘ
ff8dff9e,30d9,ﾍﾞ,ベ
ff8dff9f,30da,ﾍﾟ,ペ
ff8e,30db,ﾎ,ホ
ff8eff9e,30dc,ﾎﾞ,ボ
ff8eff9f,30dd,ﾎﾟ,ポ
ff8f,30de,ﾏ,マ
ff90,30df,ﾐ,ミ
ff91,30e0,ﾑ,ム
ff92,30e1,ﾒ,メ
ff93,30e2,ﾓ,モ
ff94,30e4,ﾔ,ヤ
ff95,30e6,ﾕ,ユ
ff96,30e8,ﾖ,ヨ
ff97,30e9,ﾗ,ラ
ff98,30ea,ﾘ,リ
ff99,30eb,ﾙ,ル
ff9a,30ec,ﾚ,レ
ff9b,30ed,ﾛ,ロ
ff9c,30ef,ﾜ,ワ
ff9cff9e,30f7,ﾜﾞ,ヷ
ff9d,30f3,ﾝ,ン
ff9e,309b,ﾞ,゛
ff9f,309c,ﾟ,゜
